"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"11/10/2025","11/10/2025","11/12/2025","SOFI","SOFI 11/28/2025 Put $26.00","BTC","1","$0.31","($31.04)"
"11/5/2025","11/5/2025","11/6/2025","SOFI","SOFI 11/28/2025 Put $26.00","STO","1","$0.60","$59.95"
"11/5/2025","11/5/2025","11/6/2025","","ACH Deposit","ACH","","","$4,000.00"
"10/31/2025","10/31/2025","10/31/2025","","Interest Payment","INT","","","$1.17"
"10/31/2025","10/31/2025","10/31/2025","","Cash reward","MISC","","","$7.62"
"10/23/2025","10/23/2025","10/24/2025","SOFI","SOFI 9/18/2026 Call $25.00","STC","1","$8.85","$884.95"
"10/22/2025","10/22/2025","10/23/2025","SOFI","SOFI 9/18/2026 Call $25.00","BTO","1","$8.40","($840.04)"
"10/21/2025","10/21/2025","10/22/2025","SOFI","SOFI 9/18/2026 Call $25.00","STC","1","$9.20","$919.95"
"10/17/2025","10/17/2025","10/20/2025","SOFI","SOFI 9/18/2026 Call $25.00","BTO","1","$8.20","($820.04)"
"10/17/2025","10/17/2025","10/17/2025","","Gold Plan Credit","GMPC","","","$5.00"
"10/17/2025","10/17/2025","10/17/2025","","Gold Subscription Fee","GOLD","","","($45.00)"
"10/17/2025","10/17/2025","10/20/2025","","ACH Deposit","ACH","","","$1,000.00"
"10/17/2025","10/17/2025","10/17/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"8/29/2025","8/29/2025","8/29/2025","","Interest Payment","INT","","","$0.03"
"7/31/2025","7/31/2025","7/31/2025","","Interest Payment","INT","","","$8.32"
"7/31/2025","7/31/2025","7/31/2025","","Gold Deposit Boost Payment","GDBP","","","$0.42"
"7/22/2025","7/22/2025","7/23/2025","","ACH Withdrawal","ACH","","","($1,100.00)"
"7/18/2025","7/18/2025","7/21/2025","META","META 8/15/2025 Put $625.00","BTC","1","$6.59","($659.04)"
"7/18/2025","7/18/2025","7/21/2025","META","META 8/15/2025 Call $835.00","BTC","1","$2.04","($204.04)"
"7/18/2025","7/18/2025","7/21/2025","META","META 8/15/2025 Call $845.00","STC","1","$1.74","$173.95"
"7/18/2025","7/18/2025","7/21/2025","META","META 8/15/2025 Put $615.00","STC","1","$5.09","$508.95"
"7/18/2025","7/18/2025","7/21/2025","","ACH Withdrawal","ACH","","","($4,500.00)"
"7/17/2025","7/17/2025","7/18/2025","PLTR","PLTR 8/22/2025 Put $120.00","BTC","1","$1.85","($185.04)"
"7/17/2025","7/17/2025","7/18/2025","PLTR","PLTR 8/22/2025 Put $110.00","STC","1","$1.01","$100.95"
"7/16/2025","7/16/2025","7/16/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"7/14/2025","7/14/2025","7/15/2025","APLD","APLD 8/22/2025 Put $12.00","BTC","1","$3.06","($306.04)"
"7/11/2025","7/11/2025","7/14/2025","PLTR","PLTR 8/22/2025 Put $120.00","STO","1","$3.47","$346.95"
"7/11/2025","7/11/2025","7/14/2025","PLTR","PLTR 8/22/2025 Put $110.00","BTO","1","$1.88","($188.04)"
"7/10/2025","7/10/2025","7/11/2025","APLD","APLD 7/25/2025 Put $12.00","BTC","1","$2.67","($267.04)"
"7/10/2025","7/10/2025","7/11/2025","APLD","APLD 8/22/2025 Put $12.00","STO","1","$3.09","$308.95"
"7/9/2025","7/9/2025","7/10/2025","PLTR","PLTR 8/15/2025 Put $105.00","BTC","1","$1.81","($181.04)"
"7/9/2025","7/9/2025","7/10/2025","PLTR","PLTR 8/15/2025 Put $95.00","STC","1","$0.98","$97.95"
"7/2/2025","7/2/2025","7/3/2025","META","META 8/15/2025 Call $835.00","STO","1","$5.07","$506.95"
"7/2/2025","7/2/2025","7/3/2025","META","META 8/15/2025 Call $845.00","BTO","1","$4.26","($426.04)"
"7/2/2025","7/2/2025","7/3/2025","META","META 8/15/2025 Put $625.00","STO","1","$8.12","$811.95"
"7/2/2025","7/2/2025","7/3/2025","META","META 8/15/2025 Put $615.00","BTO","1","$6.83","($683.04)"
"7/1/2025","7/1/2025","7/2/2025","PLTR","PLTR 8/15/2025 Put $95.00","BTO","1","$1.67","($167.04)"
"7/1/2025","7/1/2025","7/2/2025","PLTR","PLTR 8/15/2025 Put $105.00","STO","1","$2.97","$296.95"
"6/30/2025","6/30/2025","6/30/2025","","Interest Payment","INT","","","$13.92"
"6/30/2025","6/30/2025","6/30/2025","","Gold Deposit Boost Payment","GDBP","","","$0.42"
"6/30/2025","6/30/2025","7/1/2025","","ACH Withdrawal","ACH","","","($3,000.00)"
"6/27/2025","6/27/2025","6/30/2025","APLD","APLD 12/19/2025 Put $9.00","BTC","1","$1.95","($195.04)"
"6/26/2025","6/26/2025","6/27/2025","AMZN","AMZN 7/25/2025 Put $190.00","STC","1","$0.59","$58.95"
"6/26/2025","6/26/2025","6/27/2025","AMZN","AMZN 7/25/2025 Put $200.00","BTC","1","$1.41","($141.04)"
"6/26/2025","6/26/2025","6/27/2025","APLD","APLD 7/18/2025 Put $11.00","BTC","1","$1.45","($145.04)"
"6/26/2025","6/26/2025","6/27/2025","APLD","APLD 12/19/2025 Put $9.00","STO","1","$2.00","$199.95"
"6/24/2025","6/24/2025","6/25/2025","NVDA","NVDA 7/25/2025 Put $125.00","STC","1","$0.61","$60.95"
"6/24/2025","6/24/2025","6/25/2025","NVDA","NVDA 7/25/2025 Put $130.00","BTC","1","$1.01","($101.04)"
"6/24/2025","6/24/2025","6/25/2025","AAPL","AAPL 7/25/2025 Put $175.00","STC","1","$0.47","$46.95"
"6/24/2025","6/24/2025","6/25/2025","AAPL","AAPL 7/25/2025 Put $185.00","BTC","1","$1.14","($114.04)"
"6/16/2025","6/16/2025","6/16/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"6/13/2025","6/13/2025","6/16/2025","APLD","APLD 7/18/2025 Put $11.00","STO","1","$1.17","$116.95"
"6/13/2025","6/13/2025","6/16/2025","","ACH Deposit","ACH","","","$3,000.00"
"6/11/2025","6/11/2025","6/12/2025","NVDA","NVDA 7/25/2025 Put $125.00","BTO","1","$1.44","($144.04)"
"6/11/2025","6/11/2025","6/12/2025","NVDA","NVDA 7/25/2025 Put $130.00","STO","1","$2.20","$219.95"
"6/11/2025","6/11/2025","6/12/2025","AMZN","AMZN 7/25/2025 Put $190.00","BTO","1","$1.27","($127.04)"
"6/11/2025","6/11/2025","6/12/2025","AMZN","AMZN 7/25/2025 Put $200.00","STO","1","$2.52","$251.95"
"6/11/2025","6/11/2025","6/12/2025","AAPL","AAPL 7/25/2025 Put $175.00","BTO","1","$1.05","($105.04)"
"6/11/2025","6/11/2025","6/12/2025","AAPL","AAPL 7/25/2025 Put $185.00","STO","1","$2.11","$210.95"
"6/10/2025","6/10/2025","6/11/2025","APLD","APLD 7/25/2025 Put $12.00","STO","1","$1.75","$174.95"
"6/6/2025","6/6/2025","6/9/2025","APLD","APLD 6/27/2025 Put $12.00","BTC","1","$0.75","($75.04)"
"6/6/2025","6/6/2025","6/9/2025","APLD","APLD 6/13/2025 Put $13.00","BTC","1","$0.62","($62.04)"
"6/5/2025","6/5/2025","6/6/2025","APLD","APLD 6/27/2025 Put $12.00","STO","1","$1.20","$119.95"
"6/5/2025","6/5/2025","6/6/2025","APLD","APLD 6/13/2025 Put $13.00","STO","1","$1.27","$126.95"
"6/4/2025","6/4/2025","6/5/2025","CMG","CMG 6/27/2025 Put $49.00","BTC","1","$0.58","($58.04)"
"6/2/2025","6/2/2025","6/2/2025","","Gold Deposit Boost Payment","GDBP","","","$0.42"
"5/30/2025","5/30/2025","5/30/2025","","Interest Payment","INT","","","$14.12"
"5/30/2025","5/30/2025","6/2/2025","","ACH Withdrawal","ACH","","","($4,500.00)"
"5/30/2025","5/30/2025","6/2/2025","SOFI","SOFI 6/27/2025 Put $12.00","BTC","1","$0.34","($34.04)"
"5/30/2025","5/30/2025","6/2/2025","SPY","SPY 6/27/2025 Call $620.00","BTC","1","$0.75","($75.04)"
"5/30/2025","5/30/2025","6/2/2025","SPY","SPY 6/27/2025 Put $545.00","STC","1","$2.20","$219.95"
"5/30/2025","5/30/2025","6/2/2025","SPY","SPY 6/27/2025 Call $625.00","STC","1","$0.43","$42.95"
"5/30/2025","5/30/2025","6/2/2025","SPY","SPY 6/27/2025 Put $550.00","BTC","1","$2.62","($262.04)"
"5/30/2025","5/30/2025","6/2/2025","SOFI","SOFI 6/27/2025 Put $12.00","BTC","1","$0.34","($34.04)"
"5/29/2025","5/29/2025","5/30/2025","NVDA","NVDA 8/15/2025 Put $135.00","STC","1","$7.52","$751.95"
"5/29/2025","5/29/2025","5/30/2025","NVDA","NVDA 8/15/2025 Call $135.00","STC","1","$13.93","$1,392.95"
"5/27/2025","5/27/2025","5/28/2025","NVDA","NVDA 8/15/2025 Put $135.00","BTO","1","$10.62","($1,062.04)"
"5/27/2025","5/27/2025","5/28/2025","NVDA","NVDA 8/15/2025 Call $135.00","BTO","1","$12.21","($1,221.04)"
"5/23/2025","5/23/2025","5/27/2025","AAPL","AAPL 6/27/2025 Put $185.00","STC","1","$3.85","$384.95"
"5/23/2025","5/23/2025","5/27/2025","AAPL","AAPL 6/27/2025 Put $195.00","BTC","1","$7.13","($713.04)"
"5/23/2025","5/23/2025","5/27/2025","AAPL","AAPL 6/13/2025 Put $200.00","BTC","1","$7.99","($799.04)"
"5/23/2025","5/23/2025","5/27/2025","AAPL","AAPL 6/13/2025 Put $195.00","STC","1","$5.59","$558.95"
"5/23/2025","5/23/2025","5/27/2025","AAPL","AAPL 6/13/2025 Put $195.00","STC","1","$5.60","$559.95"
"5/23/2025","5/23/2025","5/27/2025","AAPL","AAPL 6/13/2025 Put $200.00","BTC","1","$7.99","($799.04)"
"5/23/2025","5/23/2025","5/27/2025","AAPL","AAPL 6/13/2025 Put $200.00","BTC","1","$7.99","($799.04)"
"5/23/2025","5/23/2025","5/27/2025","AAPL","AAPL 6/13/2025 Put $195.00","STC","1","$5.60","$559.95"
"5/22/2025","5/22/2025","5/23/2025","AAPL","AAPL 6/13/2025 Put $200.00","BTC","1","$5.90","($590.04)"
"5/22/2025","5/22/2025","5/23/2025","AAPL","AAPL 6/13/2025 Put $195.00","STC","1","$4.00","$399.95"
"5/22/2025","5/22/2025","5/23/2025","AAPL","AAPL 6/13/2025 Put $195.00","STC","1","$4.07","$406.95"
"5/22/2025","5/22/2025","5/23/2025","AAPL","AAPL 6/13/2025 Put $200.00","BTC","1","$6.02","($602.04)"
"5/22/2025","5/22/2025","5/23/2025","SOFI","SOFI 6/27/2025 Put $12.00","STO","2","$0.50","$99.91"
"5/22/2025","5/22/2025","5/23/2025","CMG","CMG 6/27/2025 Put $49.00","STO","1","$1.18","$117.95"
"5/21/2025","5/21/2025","5/22/2025","HOOD","HOOD 6/27/2025 Put $61.00","BTC","1","$3.55","($355.04)"
"5/21/2025","5/21/2025","5/22/2025","GOOGL","GOOGL 6/27/2025 Put $150.00","BTC","1","$1.28","($128.04)"
"5/21/2025","5/21/2025","5/22/2025","GOOGL","GOOGL 6/27/2025 Put $140.00","STC","1","$0.56","$55.95"
"5/19/2025","5/19/2025","5/19/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"5/16/2025","5/16/2025","5/19/2025","HOOD","HOOD 6/27/2025 Put $61.00","STO","1","$4.72","$471.95"
"5/14/2025","5/14/2025","5/15/2025","SPY","SPY 6/27/2025 Call $620.00","STO","1","$1.78","$177.95"
